Year,Month,GEPU_current,GEPU_ppp
1997,1,74.25091582,76.82737157
1997,2,77.45585817,79.14562508
1997,3,66.76165466,64.88926164
1997,4,71.86826135,73.16404785
1997,5,69.9013618,70.20421008
1997,6,76.31679477,76.51173631
1997,7,62.68392522,59.72853059
1997,8,61.88629593,56.91147189
1997,9,66.20551314,62.75755902
1997,10,78.96985615,74.50468657
1997,11,92.39339091,86.22885795
1997,12,103.1419477,92.81085698
1998,1,95.0711241,90.42699742
1998,2,83.83997283,80.13998732
1998,3,84.75838864,79.31636372
1998,4,76.59474571,69.75232782
1998,5,82.95826506,76.04915573
1998,6,81.78394953,76.95017593
1998,7,98.41617718,93.19398376
1998,8,111.7177094,104.0580146
1998,9,138.3606609,135.0081344
1998,10,114.628483,108.6038777
1998,11,93.52565536,85.76403633
1998,12,88.22100433,84.49394932
1999,1,93.40884757,92.04984927
1999,2,78.20400621,76.02926378
1999,3,63.04084045,60.12929817
1999,4,61.58202064,56.32684092
1999,5,69.16884212,69.95036433
1999,6,69.68636163,68.81006208
1999,7,69.67100795,68.48531329
1999,8,59.64750851,58.34924847
1999,9,64.41139774,61.52201468
1999,10,63.10538385,63.60757589
1999,11,65.58635264,61.67138279
1999,12,58.11217859,53.63424794
2000,1,61.43884808,59.40551203
2000,2,56.60858769,50.80957823
2000,3,59.38181063,55.74805494
2000,4,62.20703198,58.42955826
2000,5,84.3233976,80.96213402
2000,6,85.98753012,79.82317193
2000,7,62.91510802,56.00153832
2000,8,52.13084207,49.35228779
2000,9,59.11586282,59.96208353
2000,10,66.70646261,65.11387915
2000,11,105.8009707,100.5522735
2000,12,99.93035831,95.69295971
2001,1,97.39589733,91.72843831
2001,2,97.50480246,91.40515157
2001,3,109.8581692,102.8036148
2001,4,107.049318,99.19128474
2001,5,82.25802358,77.61678618
2001,6,71.47266851,66.9455688
2001,7,96.6470883,91.4237521
2001,8,81.99796847,80.61581622
2001,9,173.7616549,163.1035342
2001,10,164.6875147,159.1514998
2001,11,122.0971806,116.7576297
2001,12,104.5076786,100.0802978
2002,1,103.72176,101.6804806
2002,2,87.08480153,85.12899215
2002,3,76.27726989,75.96487944
2002,4,81.52374252,80.7571696
2002,5,76.9716078,73.22486498
2002,6,91.82666649,91.34639203
2002,7,97.24199304,91.77522389
2002,8,103.7550943,100.8495288
2002,9,118.9109853,117.3664106
2002,10,113.5980116,113.7144211
2002,11,118.4760282,112.6957002
2002,12,115.4207343,109.8334954
2003,1,123.7010495,112.6453339
2003,2,131.321061,119.9696149
2003,3,163.1717515,151.8635011
2003,4,131.4377661,123.448979
2003,5,103.080151,97.34158518
2003,6,87.22329703,79.60496517
2003,7,77.52105999,76.79870961
2003,8,66.59281402,67.43375248
2003,9,78.86584874,75.50876311
2003,10,74.48471912,75.59973967
2003,11,71.14296862,70.97238513
2003,12,68.96541615,67.91061335
2004,1,70.26557851,74.09247274
2004,2,69.17127931,73.72033277
2004,3,75.59717607,72.17068036
2004,4,73.8694716,73.1681164
2004,5,87.93607516,94.4294293
2004,6,74.48136725,73.26961327
2004,7,71.77342558,67.33582915
2004,8,66.82169527,65.54878954
2004,9,76.87263274,73.0185635
2004,10,85.95114432,85.08940759
2004,11,81.5057596,77.82909341
2004,12,63.620122,64.1241858
2005,1,56.17062199,61.32183805
2005,2,52.40352445,53.49754784
2005,3,52.29950759,55.76970356
2005,4,66.33867197,68.23404838
2005,5,67.05511792,65.26074549
2005,6,68.00283786,66.84738733
2005,7,59.52154761,58.14844119
2005,8,59.91475983,60.38086953
2005,9,90.92337541,86.29966056
2005,10,62.03091066,61.95730053
2005,11,65.09757702,63.36074165
2005,12,59.37861373,61.59863713
2006,1,67.25989958,70.76414685
2006,2,56.01418165,55.68160087
2006,3,56.7310196,58.41761531
2006,4,70.47076819,73.44492285
2006,5,60.92600419,60.48099346
2006,6,70.52446543,71.59667008
2006,7,65.13860955,64.39685064
2006,8,55.72260951,56.91207602
2006,9,57.05200812,56.3711711
2006,10,57.9182699,61.1740359
2006,11,55.34540091,58.35328222
2006,12,54.45598758,56.25399562
2007,1,62.61630725,64.05354527
2007,2,52.52485288,54.95951236
2007,3,61.61170227,62.30565975
2007,4,57.91437857,61.39382586
2007,5,54.0072939,53.12861798
2007,6,54.65387136,54.85908305
2007,7,47.223737,52.38457
2007,8,74.18800169,70.89887374
2007,9,95.78134572,89.36280516
2007,10,76.42767378,75.25571775
2007,11,81.05272804,77.61339055
2007,12,91.07573062,91.55713315
2008,1,129.7197847,127.5447838
2008,2,98.35281207,98.63628463
2008,3,113.1375911,120.0870063
2008,4,88.6384494,94.42342354
2008,5,74.65667187,76.93583905
2008,6,84.8942177,90.6200987
2008,7,90.52927417,98.86422187
2008,8,87.27085066,94.47891651
2008,9,161.9364926,162.6420274
2008,10,197.64352,196.1449743
2008,11,138.3963385,139.6287425
2008,12,141.331759,145.1921819
2009,1,142.5048335,141.6764068
2009,2,144.8112579,140.1361881
2009,3,128.9566673,131.3763418
2009,4,100.9543048,102.8047611
2009,5,100.5509173,96.64875264
2009,6,105.9961967,111.8771841
2009,7,98.31177252,103.9488685
2009,8,95.41116923,96.1127961
2009,9,97.08248276,103.0628021
2009,10,83.66498336,84.0736042
2009,11,96.23266505,94.14826627
2009,12,95.88012446,94.24935607
2010,1,109.3034144,107.5766402
2010,2,107.8600941,110.0444773
2010,3,103.5318882,103.7845472
2010,4,99.99641664,95.19802708
2010,5,142.683455,136.691013
2010,6,129.2155744,127.998889
2010,7,136.6603539,128.7237038
2010,8,117.1121135,112.2698423
2010,9,128.9134807,121.6686192
2010,10,118.2363951,110.6095851
2010,11,123.1869178,116.596839
2010,12,125.2740577,125.4516549
2011,1,106.6936143,111.8769172
2011,2,90.15514204,88.31839279
2011,3,122.1323185,120.0677131
2011,4,110.9927714,111.7514591
2011,5,85.83588044,81.87834341
2011,6,113.2820733,107.3126039
2011,7,150.3179357,148.8976957
2011,8,207.7583117,204.083745
2011,9,184.9246068,181.4563906
2011,10,159.939292,164.339197
2011,11,191.3704177,197.4166921
2011,12,175.674363,184.0840399
2012,1,156.0084021,161.7117367
2012,2,137.1474756,142.7300981
2012,3,130.1133506,143.0641221
2012,4,122.5707792,125.5795669
2012,5,154.4689218,158.4264812
2012,6,182.2779743,187.7873548
2012,7,154.0012087,156.2030306
2012,8,118.7310107,122.0192455
2012,9,147.1367174,147.6906904
2012,10,153.6228831,156.6200367
2012,11,168.4567219,165.4116058
2012,12,163.2799666,160.5474672
2013,1,162.431367,160.014758
2013,2,121.6116823,121.2249857
2013,3,137.0658222,134.1546806
2013,4,130.3265284,131.0472061
2013,5,103.0386643,101.164698
2013,6,116.5845784,113.9851738
2013,7,104.5174889,103.6897386
2013,8,114.8780699,120.9413438
2013,9,128.4310209,127.3082177
2013,10,152.5527498,145.8106683
2013,11,92.88582873,92.36843421
2013,12,114.4594303,116.1885852
2014,1,107.3248072,108.7672169
2014,2,94.6434265,92.15060372
2014,3,109.4369003,107.2442376
2014,4,97.77549143,101.4341202
2014,5,100.2574868,102.0258726
2014,6,83.52575057,85.77617204
2014,7,89.82997707,93.86736937
2014,8,95.76651141,102.5403278
2014,9,119.0045233,123.8484615
2014,10,115.0014987,117.8418019
2014,11,109.5754105,115.3296827
2014,12,107.9307622,109.4081249
2015,1,131.7333603,138.6638418
2015,2,108.9150134,114.6118897
2015,3,100.6431354,103.0395621
2015,4,98.31368558,96.62631946
2015,5,102.8361739,99.02663871
2015,6,114.0758756,111.4137454
2015,7,125.1708482,125.036816
2015,8,127.2614834,126.1611604
2015,9,168.6929972,173.1296893
2015,10,120.9874494,121.7313904
2015,11,98.39069605,96.87492658
2015,12,109.8717636,113.5160614
2016,1,145.3892628,142.6945697
2016,2,150.4350257,149.8787038
2016,3,160.9843593,165.2417249
2016,4,140.0085109,144.6893824
2016,5,128.0564251,126.3572179
2016,6,235.3524657,225.7997021
2016,7,228.0013435,218.9082087
2016,8,139.3820692,142.5400428
2016,9,144.1274607,150.5445259
2016,10,129.733693,126.7178808
2016,11,242.3187889,231.5371146
2016,12,214.6724714,226.0653058
2017,1,255.8148487,270.9047825
2017,2,194.4919489,203.2760579
2017,3,226.7457493,242.9520838
2017,4,174.6003447,176.1621584
2017,5,159.5725416,163.3782108
2017,6,163.8895705,167.3548128
2017,7,143.0350216,144.7546276
2017,8,136.1835868,137.677844
2017,9,151.44588,157.2392663
2017,10,144.3339724,149.6134994
2017,11,150.3126588,156.6798676
2017,12,144.1224208,151.0310711
2018,1,145.7304713,141.9882723
2018,2,119.8233505,123.7338368
2018,3,161.9068607,158.6277585
2018,4,150.7489255,157.958337
2018,5,168.9943256,171.5463164
2018,6,170.7103368,173.7418803
2018,7,213.0643673,226.8905695
2018,8,172.7812229,188.0931388
2018,9,186.941741,203.3099287
2018,10,211.3396958,229.7854323
2018,11,235.1380738,258.753352
2018,12,258.2621386,271.3217031
2019,1,252.2048571,257.3101372
2019,2,197.2245677,212.258759
2019,3,240.4995664,259.3784331
2019,4,184.1280554,200.9542078
2019,5,230.4570735,254.1287822
2019,6,303.0387998,339.7973723
2019,7,250.482768,266.9793324
2019,8,304.9971258,317.5721848
2019,9,262.8503484,289.7348618
2019,10,248.2231504,272.2363666
2019,11,243.061713,266.1567355
2019,12,251.7103416,274.83517
2020,1,216.039875,233.7952117
2020,2,219.9531981,228.8278221
2020,3,344.4181925,340.9803107
2020,4,344.2412379,354.8833814
2020,5,412.8265862,423.9683393
2020,6,313.7417548,333.6539199
2020,7,337.3844241,340.8951619
2020,8,285.8839071,306.8564901
2020,9,286.9154972,298.2809192
"Davis, Steven J., 2016. “An Index of Global Economic Policy Uncertainty,” Macroeconomic Review, October.",,,
